,id,title,adult,overview,original_language,popularity,release_date,vote_average,vote_count
100,299536,Avengers: Infinity War,False,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",en,389.626,2018-04-25,8.3,24624
101,756403,Riverdance: The Animated Adventure,False,A young Irish boy named Keegan and Spanish girl named Moya journey into a magical world of the Megaloceros Giganteus who teach them to appreciate Riverdance as a celebration of life. Based on the stage show phenomenon of the same name and featuring Bill Whelan’s multi-platinum Grammy Award-winning music.,en,218.824,2021-05-28,5.7,42
102,22,Pirates of the Caribbean: The Curse of the Black Pearl,False,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",en,348.349,2003-07-09,7.8,17452
103,811592,One Shot,False,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",en,274.056,2021-11-05,6.8,614
104,744,Top Gun,False,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",en,424.259,1986-05-16,7.0,5514
105,337404,Cruella,False,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",en,328.534,2021-05-26,8.2,7044
106,285,Pirates of the Caribbean: At World's End,False,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",en,351.73,2007-05-19,7.2,12062
107,870671,The Hunting,False,"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",en,347.199,2022-01-21,5.1,22
108,259316,Fantastic Beasts and Where to Find Them,False,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",en,316.134,2016-11-16,7.4,16641
109,955971,Honeymoon With My Mother,False,"José Luis has been jilted at the altar but everything has its bright side, and he goes on a honeymoon with his mother. On this trip, he discovers he doesn't know his mother and he loves her.",es,290.258,2022-04-29,6.2,77
110,811072,Two,False,"Two people, a man and a woman, wake up naked and with their abdomens attached to each other.",es,283.132,2021-07-23,5.4,246
111,550988,Free Guy,False,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,en,370.192,2021-08-11,7.7,5716
112,929472,Erax,False,Monstrous creatures leap from a magical storybook and unleash mayhem and mischief for Auntie Opal and her tween niece Nina in this spooky short film.,en,193.14,2022-02-17,5.0,21
